file,session,failed,failMsg,nTrials,nInc,nDec,pCorrect,pInc,pDec,dMean_sumDM,dMean_meanDM,dMean_longestPosRun,dMean_longestNegRun,dMean_nSwitch,dMean_dEarlyLate,dMean_maxCumDM,dMean_minCumDM,dev_m0,dev_m1,dev_m2,dev_m3,dev_m4,dDev_m1,dDev_m2,dDev_m3,dDev_m4,devExpl_m1,devExpl_m2,devExpl_m3,devExpl_m4,incOver_m1_m2,incOver_m1_m3,incOver_m1_m4,b_m1_sumDM,p_m1_sumDM,b_m2_sumDM,p_m2_sumDM,b_m2_longestPosRun,p_m2_longestPosRun,b_m2_longestNegRun,p_m2_longestNegRun,b_m2_nSwitch,p_m2_nSwitch,b_m3_sumDM,p_m3_sumDM,b_m3_dEarlyLate,p_m3_dEarlyLate,b_m4_sumDM,p_m4_sumDM,b_m4_maxCumDM,p_m4_maxCumDM,b_m4_minCumDM,p_m4_minCumDM,Npred_pref_50,Npred_pref_125,Npred_pref_250,Npred_probe_50,Npred_probe_125,Npred_probe_250,Npred_beta1,Npred_pCorrect,Npred_stdSumDM,Npred_gamma,Npred_rPref,Npred_rProbe,Npred_refWindowMS,Npred_nRefFrames,Npred_zTarget,Npred_valid
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260218.mat,IDReadout_Meetz_20260218.mat,0,,817,400,417,0.782129742962056,0.7875,0.776978417266187,-36.0377864227655,-1.20125954742552,-0.801164037910359,1.05278613001354,-0.0286173972674999,58.685632007384,-15.6726515001861,-6.30387397465302,856.541444402774,853.789375877977,848.448588484429,845.568909651456,850.302723332335,2.75206852479653,8.09285591834509,10.9725347513178,6.2387210704386,0.00321300100862652,0.00944829461694975,0.0128102788522608,0.00728361845326535,5.34078739354857,8.22046622652124,3.48665254564207,-0.000549103294277442,0.0977591940460249,0.000417980958977517,0.456177725277965,-0.0254080586905859,0.265108622006734,0.0504013912907528,0.0479635341658723,-0.0181986180587667,0.808746967543756,-0.000532699046916669,0.108636281219204,0.00101608279903825,0.0044827770274175,-0.0019520485794212,0.0306979764433187,0.000886099669442384,0.404244237182124,0.00190736998400523,0.0705050259979922,NaN,NaN,NaN,NaN,NaN,NaN,-0.000549103294277442,0.782129742962056,256.524942330787,-0.140858690898166,0.707160165211599,0.707053393130889,250,30,2,0
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260219.mat,IDReadout_Meetz_20260219.mat,0,,811,420,391,0.758323057953144,0.804761904761905,0.70843989769821,31.6511719444049,1.0550390648135,0.786079309772689,-0.290210718433715,-0.0572341131574583,-15.1702800456466,6.749168878641,23.3703177750897,896.974447954817,894.904058446066,893.214981138578,894.362015054629,892.825612380943,2.07038950875085,3.75946681623941,2.61243290018774,4.14883557387384,0.00230819229407429,0.00419127526409625,0.00291249422560958,0.00462536651220507,1.68907730748856,0.542043391436891,2.07844606512299,0.000440439347324842,0.150758131076383,0.00016399919208932,0.781101577138938,0.0257595527282659,0.29098595660571,0.00492002294573445,0.843858003796424,-0.0244848132775559,0.736858263436458,0.000428848698743407,0.162239853456799,-0.000261839122195551,0.462551291814867,0.000600826907941043,0.492937054256006,-0.00102929856604715,0.293783709994471,0.000665604201919551,0.508165468088583,111604.136881001,697525.855506256,2790103.42202502,111637.846090968,697736.538068547,2790946.15227419,0.000440439347324842,0.758323057953144,268.375183923517,0.118202990845458,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260220.mat,IDReadout_Meetz_20260220.mat,0,,910,450,460,0.742857142857143,0.78,0.706521739130435,-50.416326784722,-1.6805442261574,-0.635272846811309,0.917159763313609,-0.148257725180802,0.611190296540002,-23.2000529426196,-24.6589952787596,1037.48585031234,1030.58911698018,1026.79380998479,1030.59018046206,1030.11951677695,6.89673333216365,10.6920403275526,6.8956698502775,7.36633353539059,0.00664754447502811,0.010305721590645,0.0066465194182663,0.00710017735005534,3.79530699538896,-0.00106348188614902,0.469600203226946,-0.000790063381201984,0.00902942283074592,-0.000493957375664825,0.334532723642716,-0.00683764688775493,0.759222094856945,0.0191025888678412,0.39903317512931,-0.10452220051732,0.115193497785049,-0.000785776841089299,0.00933578884612143,1.37315598084696e-05,0.965366338573068,-0.00123108350395976,0.127971497105223,0.00061590006015737,0.514151223563206,0.000216363292502952,0.816576226542528,NaN,NaN,NaN,NaN,NaN,NaN,-0.000790063381201984,0.742857142857143,253.766180187577,-0.200491366353709,0.707160165211599,0.707053393130889,250,30,2,0
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260223.mat,IDReadout_Meetz_20260223.mat,0,,804,390,414,0.791044776119403,0.835897435897436,0.748792270531401,34.0328929080381,1.13442976360127,0.0184186882300104,-0.661837376460018,-0.0171832884097038,29.8049962609665,34.9942825298788,21.3982033693621,824.21115519165,821.866666400581,818.733495067474,819.8878788213,814.903317276799,2.34448879106947,5.47766012417651,4.32327637034984,9.30783791485123,0.00284452445990532,0.00664594271707329,0.00524535047010444,0.0112930258905401,3.13317133310704,1.97878757928038,6.96334912378177,0.00051920906172755,0.126619147329239,0.000857004729998908,0.151117966591985,-0.0406746446336728,0.117059509193489,-0.0181015651585398,0.465159357780807,-0.0500048174374717,0.520110551806689,0.000497221574287261,0.143404072314849,0.000521131961771056,0.162395384517613,-0.00164811783574613,0.0920986956276479,0.00287311392513427,0.0122572720612719,0.00120382685747742,0.27240084096993,119726.834853283,748292.71783302,2993170.87133208,119762.997464522,748518.734153265,2994074.93661306,0.00051920906172755,0.791044776119403,256.615784223911,0.133237240551376,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260225.mat,IDReadout_Meetz_20260225.mat,0,,1028,510,518,0.781128404669261,0.817647058823529,0.745173745173745,23.9804468764072,0.799348229213573,0.23028089110281,0.0514072229140723,-0.0267496886674969,13.0629375029155,12.1361270566625,17.4692127322382,1080.37878541658,1078.83492965644,1076.81357967393,1078.3033653796,1078.17760422056,1.54385576013647,3.56520574265255,2.07542003697472,2.20118119601557,0.00142899488677129,0.00329995904286278,0.00192101146837539,0.00203741615970997,2.02134998251609,0.531564276838253,0.657325435879102,0.000366647677315968,0.214642147063656,0.000859267482857567,0.0874562132236177,-0.00941462728124336,0.661351716834018,0.0279765323404945,0.191728487379629,-0.0110364447660464,0.870294238381112,0.000366902227511642,0.213705836958866,0.000228912515673663,0.465406547612914,-0.000113951127037421,0.887649395074124,0.000125424968609199,0.895106170832713,0.000784791841872701,0.401466043258562,217797.170800533,1361232.31750333,5444929.27001332,217862.954836554,1361643.46772846,5446573.87091384,0.000366647677315968,0.781128404669261,256.129748988048,0.0939093775579896,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260226.mat,IDReadout_Meetz_20260226.mat,0,,848,420,428,0.816037735849057,0.816666666666667,0.815420560747664,10.3281112576868,0.344270375256227,0.138839484215206,-0.241996442863495,-0.185415740329035,3.46663089462332,-0.166246262924517,5.360170472173,809.583521466358,809.380295317202,805.90149269748,809.362764996913,808.818045495605,0.203226149155057,3.6820287688779,0.220756469444495,0.765475970752618,0.000251025550503997,0.00454805300657408,0.000272679054836307,0.000945518220734225,3.47880261972284,0.0175303202894384,0.562249821597561,0.000154660161309758,0.652339177812698,0.000112203017618007,0.857365943736041,-0.00935600788274923,0.723783267023113,-0.015466626394048,0.551048366732366,-0.135696114815737,0.0719148064104854,0.000152781293210044,0.655471615777516,5.56434584386095e-05,0.87788362698952,0.000650556970865237,0.486591129577785,-0.000843547928052485,0.427573810485364,-0.000112598682679059,0.919308685655051,1771191.75908392,11069948.4942745,44279793.977098,1771726.73454779,11073292.0909237,44293168.3636949,0.000154660161309758,0.816037735849057,258.7814234367,0.0400231766926888,0.707160165211599,0.707053393130889,250,30,2,1
/Users/Shared/Data/IDReadout/Data/IDReadout_Meetz_20260227.mat,IDReadout_Meetz_20260227.mat,0,,966,480,486,0.834368530020704,0.85,0.818930041152263,36.7518836117642,1.22506278705881,0.175232630272953,-0.605086848635235,-0.021060794044665,14.7756900197348,9.94731613036444,29.6617431488821,867.257913903079,864.587631160382,863.113275797475,864.006061548004,861.254826392121,2.67028274269717,4.14463810560437,3.25185235507536,6.00308751095827,0.00307899495627501,0.00477901445367215,0.00374957933844668,0.00692191724597989,1.4743553629072,0.581569612378189,3.3328047682611,0.000545639343704508,0.103362317248421,0.000832860647798259,0.162065740823732,-0.0281716896848035,0.248739152278506,-0.00776358823913802,0.747068353886106,-0.038909576715635,0.610956332974062,0.000551162357718775,0.0991740891603789,0.000275905748034692,0.442021639369835,0.000408155718551689,0.650244301155784,-0.00112288095186511,0.297164239647473,0.00136537607231111,0.188021987130328,180047.567919142,1125297.29949464,4501189.19797855,180101.949964831,1125637.1872802,4502548.74912078,0.000545639343704508,0.834368530020704,260.466794373266,0.142120930738646,0.707160165211599,0.707053393130889,250,30,2,1
